file_name,total_frames,most_frequent_emotion,pct_happy,pct_sad,pct_angry,pct_neutral,pct_fear,pct_surprise,pct_disgust
MarkRutte_MariekeElsinga.mkv,52,neutral,26.92,21.15,11.54,32.69,7.69,0,0
MarkRutte_MatthijsNieuwkerk.mp4,93,sad,5.38,39.78,25.81,8.6,15.05,4.3,1.08
