file_name,total_frames,most_frequent_emotion,pct_happy,pct_sad,pct_angry,pct_neutral,pct_fear,pct_surprise,pct_disgust
MarkRutte_MariekeElsinga.mkv,21,happy,33.33,23.81,0,28.57,14.29,0,0
MarkRutte_MatthijsNieuwkerk.mp4,41,angry,4.88,19.51,26.83,21.95,17.07,7.32,2.44
