file_name,total_frames,most_frequent_emotion,pct_happy,pct_sad,pct_angry,pct_neutral,pct_fear,pct_surprise,pct_disgust
MarkRutte_MariekeElsinga.mkv,1255,happy,29.96,22.15,9.16,28.13,10.36,0.08,0.16
MarkRutte_MatthijsNieuwkerk.mp4,2318,sad,7.64,31.06,26.06,14.06,16.39,3.97,0.82
